request_id,layer,step,mask_ratio,source,strategy,heads_per_group,window_size,baseline_physical_sparsity,physical_tile_sparsity,improvement,required_tile_reduction
context-0-regime-2,0,1,0.14,previous,bitmap,1,256,0.363067626953125,0.410614013671875,0.04754638671875,0.07464903454554161
context-0-regime-2,0,1,0.14,previous,bitmap,1,512,0.363067626953125,0.441070556640625,0.0780029296875,0.12246658042259595
context-0-regime-2,0,1,0.14,previous,bitmap,1,1024,0.363067626953125,0.4606170654296875,0.0975494384765625,0.15315509558717844
context-0-regime-2,0,1,0.14,previous,bitmap,1,4096,0.363067626953125,0.4794769287109375,0.1164093017578125,0.1827655598677591
context-0-regime-2,0,1,0.14,previous,bitmap,2,512,0.363067626953125,0.41815185546875,0.055084228515625,0.0864836375832495
context-0-regime-2,0,1,0.14,previous,bitmap,2,1024,0.363067626953125,0.4280242919921875,0.0649566650390625,0.10198361362656316
context-0-regime-2,0,1,0.14,previous,bitmap,2,4096,0.363067626953125,0.4326171875,0.069549560546875,0.1091945762062192
context-0-regime-2,0,1,0.14,previous,bitmap,4,512,0.363067626953125,0.3488616943359375,-0.0142059326171875,-0.022303674955680197
context-0-regime-2,0,1,0.14,previous,bitmap,4,1024,0.363067626953125,0.3368072509765625,-0.0262603759765625,-0.04122945714148818
context-0-regime-2,0,1,0.14,previous,bitmap,4,4096,0.363067626953125,0.2845001220703125,-0.0785675048828125,-0.12335297781610843
context-0-regime-2,0,1,0.14,previous,bitmap,8,1024,0.363067626953125,0.3267822265625,-0.036285400390625,-0.056969000047913276
context-0-regime-2,0,1,0.14,previous,bitmap,8,4096,0.363067626953125,0.2098541259765625,-0.1532135009765625,-0.2405490872502516
context-0-regime-2,0,1,0.14,previous,bitmap,32,1024,0.363067626953125,0.3273162841796875,-0.0357513427734375,-0.056130516027023125
context-0-regime-2,0,1,0.14,previous,bitmap,32,4096,0.363067626953125,0.273345947265625,-0.0897216796875,-0.14086531550955872
context-0-regime-0,1,1,0.89,current,bitmap,1,256,0.02825927734375,0.040069580078125,0.011810302734375,0.012153759185980828
context-0-regime-0,1,1,0.89,current,bitmap,1,512,0.02825927734375,0.04931640625,0.02105712890625,0.021669493122291272
context-0-regime-0,1,1,0.89,current,bitmap,1,1024,0.02825927734375,0.053802490234375,0.025543212890625,0.026286037309214194
context-0-regime-0,1,1,0.89,current,bitmap,1,4096,0.02825927734375,0.06024169921875,0.031982421875,0.03291250549588598
context-0-regime-0,1,1,0.89,current,bitmap,2,512,0.02825927734375,0.032958984375,0.00469970703125,0.004836379624395426
context-0-regime-0,1,1,0.89,current,bitmap,2,1024,0.02825927734375,0.0324554443359375,0.0041961669921875,0.004318196093210269
context-0-regime-0,1,1,0.89,current,bitmap,2,4096,0.02825927734375,0.0305633544921875,0.0023040771484375,0.002371082218453613
context-0-regime-0,1,1,0.89,current,bitmap,4,512,0.02825927734375,0.02947998046875,0.001220703125,0.0012562024998429289
context-0-regime-0,1,1,0.89,current,bitmap,4,1024,0.02825927734375,0.0271453857421875,-0.0011138916015625,-0.0011462847811067878
context-0-regime-0,1,1,0.89,current,bitmap,4,4096,0.02825927734375,0.0117340087890625,-0.0165252685546875,-0.017005841341624306
context-0-regime-0,1,1,0.89,current,bitmap,8,1024,0.02825927734375,0.0252685546875,-0.00299072265625,-0.003077696124615281
context-0-regime-0,1,1,0.89,current,bitmap,8,4096,0.02825927734375,0.01788330078125,-0.0103759765625,-0.010677721248665284
context-0-regime-0,1,1,0.89,current,bitmap,32,1024,0.02825927734375,0.028045654296875,-0.000213623046875,-0.00021983543747250422
context-0-regime-0,1,1,0.89,current,bitmap,32,4096,0.02825927734375,0.0274505615234375,-0.0008087158203125,-0.0008322341561459723
context-0-regime-0,1,1,0.89,previous,bitmap,1,256,0.02825927734375,0.034271240234375,0.006011962890625,0.006186797311726666
context-0-regime-0,1,1,0.89,previous,bitmap,1,512,0.02825927734375,0.0375823974609375,0.0093231201171875,0.009594246592550704
