condition,id,task,canvas_index,iterations,stopped_natively,hit_cap,final_entropy,final_flips,dense_bootstrap_steps,generated_tokens,returned_tokens,eligible,skipped,global_eligible,global_skipped,local_eligible,local_skipped
M_s70,ruler4k/ruler_4096_niah_single_1_p0377,niah_single_1,0,48,False,True,0.06679591536521912,26,0,128,128,1236480,926831,506880,431155,729600,495676
M_s70,ruler4k/ruler_4096_niah_single_1_p0386,niah_single_1,0,9,True,False,0.0025494920555502176,0,0,29,29,231840,177558,95040,81502,136800,96056
M_s70,ruler4k/ruler_4096_niah_single_1_p0351,niah_single_1,0,12,True,False,3.382209251867607e-05,0,0,29,29,309120,243986,126720,108573,182400,135413
M_s70,ruler4k/ruler_4096_niah_single_2_p0418,niah_single_2,0,9,True,False,0.0032980742398649454,0,0,29,29,217440,158271,80640,57769,136800,100502
M_s70,ruler4k/ruler_4096_niah_single_2_p0417,niah_single_2,0,8,True,False,0.003257894655689597,0,0,27,27,206080,150345,84480,61896,121600,88449
M_s70,ruler4k/ruler_4096_niah_single_2_p0405,niah_single_2,0,48,False,True,0.6365996599197388,60,0,29,29,1159680,763176,430080,293072,729600,470104
M_s70,ruler4k/ruler_4096_niah_single_2_p0433,niah_single_2,0,13,True,False,0.0033134762197732925,0,0,27,27,334880,251882,137280,107861,197600,144021
M_s70,ruler4k/ruler_4096_niah_single_2_p0426,niah_single_2,0,10,True,False,0.0033820364624261856,0,0,27,27,257600,185907,105600,76180,152000,109727
M_s70,ruler4k/ruler_4096_niah_single_2_p0400,niah_single_2,0,8,True,False,0.0004096086195204407,0,0,28,28,193280,143631,71680,55060,121600,88571
M_s70,ruler4k/ruler_4096_niah_single_2_p0429,niah_single_2,0,5,True,False,0.0034150751307606697,0,0,23,23,120800,88374,44800,32971,76000,55403
M_s70,ruler4k/ruler_4096_niah_single_2_p0421,niah_single_2,0,9,True,False,0.0006757063674740493,0,0,27,27,231840,173156,95040,72817,136800,100339
