dimension,value,error_threshold,records,oracle_reuse_fraction,median_tile_error,p99_tile_error
step,1,0.01,65536,0.014404296875,1.3748443126678467,6.301270961761475
step,2,1e-05,65536,0.02191162109375,1.0278773307800293,6.2076520919799805
step,2,0.0001,65536,0.02191162109375,1.0278773307800293,6.2076520919799805
step,2,0.0005,65536,0.02191162109375,1.0278773307800293,6.2076520919799805
step,2,0.001,65536,0.02191162109375,1.0278773307800293,6.2076520919799805
step,2,0.005,65536,0.02191162109375,1.0278773307800293,6.2076520919799805
step,2,0.01,65536,0.02191162109375,1.0278773307800293,6.2076520919799805
step,3,1e-05,65536,0.0198974609375,0.9381319284439087,6.239892482757568
step,3,0.0001,65536,0.0198974609375,0.9381319284439087,6.239892482757568
step,3,0.0005,65536,0.0198974609375,0.9381319284439087,6.239892482757568
step,3,0.001,65536,0.0198974609375,0.9381319284439087,6.239892482757568
step,3,0.005,65536,0.02001953125,0.9381319284439087,6.239892482757568
step,3,0.01,65536,0.0201568603515625,0.9381319284439087,6.239892482757568
step,4,1e-05,65536,0.0172119140625,0.9046634435653687,6.02833366394043
step,4,0.0001,65536,0.0172119140625,0.9046634435653687,6.02833366394043
step,4,0.0005,65536,0.0172271728515625,0.9046634435653687,6.02833366394043
step,4,0.001,65536,0.017242431640625,0.9046634435653687,6.02833366394043
step,4,0.005,65536,0.017547607421875,0.9046634435653687,6.02833366394043
step,4,0.01,65536,0.0179290771484375,0.9046634435653687,6.02833366394043
step,5,1e-05,65536,0.01824951171875,0.8201425075531006,5.91554594039917
step,5,0.0001,65536,0.01824951171875,0.8201425075531006,5.91554594039917
step,5,0.0005,65536,0.0182952880859375,0.8201425075531006,5.91554594039917
step,5,0.001,65536,0.018402099609375,0.8201425075531006,5.91554594039917
step,5,0.005,65536,0.0188446044921875,0.8201425075531006,5.91554594039917
step,5,0.01,65536,0.0194244384765625,0.8201425075531006,5.91554594039917
step,6,1e-05,65536,0.0194091796875,0.6563307046890259,5.650949001312256
step,6,0.0001,65536,0.0194091796875,0.6563307046890259,5.650949001312256
step,6,0.0005,65536,0.0194244384765625,0.6563307046890259,5.650949001312256
step,6,0.001,65536,0.01947021484375,0.6563307046890259,5.650949001312256
step,6,0.005,65536,0.0196990966796875,0.6563307046890259,5.650949001312256
step,6,0.01,65536,0.02008056640625,0.6563307046890259,5.650949001312256
step,7,1e-05,65536,0.01983642578125,0.5700862407684326,5.088440418243408
step,7,0.0001,65536,0.01983642578125,0.5700862407684326,5.088440418243408
step,7,0.0005,65536,0.0198516845703125,0.5700862407684326,5.088440418243408
step,7,0.001,65536,0.0200042724609375,0.5700862407684326,5.088440418243408
step,7,0.005,65536,0.020233154296875,0.5700862407684326,5.088440418243408
step,7,0.01,65536,0.0205230712890625,0.5700862407684326,5.088440418243408
step,8,1e-05,65536,0.01800537109375,0.4998787045478821,4.769473075866699
step,8,0.0001,65536,0.01800537109375,0.4998787045478821,4.769473075866699
step,8,0.0005,65536,0.0180206298828125,0.4998787045478821,4.769473075866699
step,8,0.001,65536,0.0181121826171875,0.4998787045478821,4.769473075866699
step,8,0.005,65536,0.0184478759765625,0.4998787045478821,4.769473075866699
step,8,0.01,65536,0.018829345703125,0.4998787045478821,4.769473075866699
step,9,1e-05,65536,0.02020263671875,0.37635213136672974,4.303253650665283
step,9,0.0001,65536,0.02020263671875,0.37635213136672974,4.303253650665283
step,9,0.0005,65536,0.02020263671875,0.37635213136672974,4.303253650665283
step,9,0.001,65536,0.02020263671875,0.37635213136672974,4.303253650665283
step,9,0.005,65536,0.0203704833984375,0.37635213136672974,4.303253650665283
step,9,0.01,65536,0.020751953125,0.37635213136672974,4.303253650665283
step,10,1e-05,65536,0.02001953125,0.3465796113014221,4.275584697723389
step,10,0.0001,65536,0.02001953125,0.3465796113014221,4.275584697723389
step,10,0.0005,65536,0.02001953125,0.3465796113014221,4.275584697723389
step,10,0.001,65536,0.020050048828125,0.3465796113014221,4.275584697723389
step,10,0.005,65536,0.0202789306640625,0.3465796113014221,4.275584697723389
step,10,0.01,65536,0.0210113525390625,0.3465796113014221,4.275584697723389
step,11,1e-05,65536,0.02044677734375,0.3478410243988037,3.7093043327331543
step,11,0.0001,65536,0.02044677734375,0.3478410243988037,3.7093043327331543
step,11,0.0005,65536,0.0204620361328125,0.3478410243988037,3.7093043327331543
step,11,0.001,65536,0.0205078125,0.3478410243988037,3.7093043327331543
step,11,0.005,65536,0.0208892822265625,0.3478410243988037,3.7093043327331543
step,11,0.01,65536,0.0220184326171875,0.3478410243988037,3.7093043327331543
step,12,1e-05,65536,0.0205078125,0.30575960874557495,3.6975595951080322
