dimension,value,veto_bin,kept_tiles,tiles,fraction_of_kept,mean_veto_attention_mass,new_max_fraction,mean_v_max_norm,mean_v_variance
layer,8,9-16,45957,4229,0.09202080205409405,0.06964746862649918,0.4762355166706077,5.818719863891602,0.09090583771467209
layer,8,17-32,45957,4696,0.10218247492220989,0.08512189239263535,0.5536626916524702,5.861438751220703,0.0917649194598198
layer,8,33-64,45957,6484,0.1410884087298997,0.12574414908885956,0.5942319555829735,5.832122802734375,0.08730871230363846
layer,8,65-128,45957,17840,0.3881889592445112,0.11855627596378326,0.7469170403587444,5.891422271728516,0.07873508334159851
layer,9,1,42950,3351,0.0780209545983702,0.04531051963567734,0.38585496866606983,6.258299827575684,0.10835709422826767
layer,9,2-4,42950,4557,0.10610011641443538,0.050606727600097656,0.3754663155584815,6.207203388214111,0.10475218296051025
layer,9,5-8,42950,3179,0.0740162980209546,0.05788275972008705,0.4265492293173954,6.206673622131348,0.1032436266541481
layer,9,9-16,42950,3520,0.0819557625145518,0.06608385592699051,0.521875,6.208974838256836,0.10401168465614319
layer,9,17-32,42950,4250,0.0989522700814901,0.07281466573476791,0.5672941176470588,6.197592258453369,0.10301560908555984
layer,9,33-64,42950,5969,0.1389755529685681,0.12546758353710175,0.5950745518512314,6.206236839294434,0.09950210154056549
layer,9,65-128,42950,18124,0.4219790454016298,0.1204119473695755,0.769973515780181,6.175737380981445,0.08747434616088867
layer,10,1,50008,4033,0.08064709646456567,0.05136675760149956,0.48499876022811805,9.349791526794434,0.305196613073349
layer,10,2-4,50008,5961,0.11920092785154375,0.06741458177566528,0.5044455628250294,9.412991523742676,0.30849355459213257
layer,10,5-8,50008,4246,0.08490641497360422,0.07493014633655548,0.5282618935468676,9.392715454101562,0.3036639094352722
layer,10,9-16,50008,5142,0.10282354823228283,0.09306924790143967,0.5855698171917542,9.453770637512207,0.3041785955429077
layer,10,17-32,50008,6014,0.12026075827867541,0.11050111800432205,0.6258729630861324,9.472311973571777,0.3002859950065613
layer,10,33-64,50008,7073,0.14143737002079668,0.13149717450141907,0.6752438851972289,9.437735557556152,0.28658318519592285
layer,10,65-128,50008,17539,0.35072388417853145,0.1214023232460022,0.7933747648098524,9.399734497070312,0.26068538427352905
layer,11,1,42079,3807,0.09047268233560683,0.055288296192884445,0.3887575518781193,7.553072452545166,0.16426870226860046
layer,11,2-4,42079,4895,0.11632881009529694,0.06065605208277702,0.40898876404494383,7.579057216644287,0.16240449249744415
layer,11,5-8,42079,3380,0.08032510278286081,0.06820360571146011,0.4597633136094675,7.542996406555176,0.1586330682039261
