experiment,batch_id,batch_size,block_index,block_size,request_ids,request_lengths,min_prompt_tokens,max_prompt_tokens,sequence_tokens,max_steps,confidence_threshold,acceptance_policy,denoising_steps,total_time_ms,mean_time_per_step_ms,min_time_per_step_ms,max_time_per_step_ms,hit_max_steps
exp1_bs1,19,1,1,32,19,1500,1500,1500,1564,64,0.9,confidence_cutoff,1,87.9738859985082,87.9738859985082,87.9738859985082,87.9738859985082,False
exp1_bs1,19,1,2,32,19,1500,1500,1500,1596,64,0.9,confidence_cutoff,1,88.51993200005381,88.51993200005381,88.51993200005381,88.51993200005381,False
exp1_bs1,19,1,3,32,19,1500,1500,1500,1628,64,0.9,confidence_cutoff,1,89.71553700030199,89.71553700030199,89.71553700030199,89.71553700030199,False
exp1_bs1,20,1,0,32,20,1600,1600,1600,1632,64,0.9,confidence_cutoff,6,388.80716399944504,64.80119399990751,59.027520001109224,91.35626699935528,False
exp1_bs1,20,1,1,32,20,1600,1600,1600,1664,64,0.9,confidence_cutoff,1,99.8330469992652,99.8330469992652,99.8330469992652,99.8330469992652,False
exp1_bs1,20,1,2,32,20,1600,1600,1600,1696,64,0.9,confidence_cutoff,1,94.77166999931796,94.77166999931796,94.77166999931796,94.77166999931796,False
exp1_bs1,20,1,3,32,20,1600,1600,1600,1728,64,0.9,confidence_cutoff,1,100.91425300015544,100.91425300015544,100.91425300015544,100.91425300015544,False
exp1_bs1,21,1,0,32,21,1750,1750,1750,1782,64,0.9,confidence_cutoff,3,222.44105900063005,74.14701966687669,62.804884000797756,96.33566400043492,False
exp1_bs1,21,1,1,32,21,1750,1750,1750,1814,64,0.9,confidence_cutoff,2,164.14070700011507,82.07035350005754,65.22698700064211,98.91371999947296,False
exp1_bs1,21,1,2,32,21,1750,1750,1750,1846,64,0.9,confidence_cutoff,1,98.94519899899024,98.94519899899024,98.94519899899024,98.94519899899024,False
exp1_bs1,21,1,3,32,21,1750,1750,1750,1878,64,0.9,confidence_cutoff,1,100.14446700006374,100.14446700006374,100.14446700006374,100.14446700006374,False
exp1_bs1,22,1,0,32,22,1900,1900,1900,1932,64,0.9,confidence_cutoff,5,379.66101200072444,75.93220240014489,68.92487400000391,102.06361699965782,False
exp1_bs1,22,1,1,32,22,1900,1900,1900,1964,64,0.9,confidence_cutoff,1,103.45853599937982,103.45853599937982,103.45853599937982,103.45853599937982,False
exp1_bs1,22,1,2,32,22,1900,1900,1900,1996,64,0.9,confidence_cutoff,1,104.58776999985275,104.58776999985275,104.58776999985275,104.58776999985275,False
exp1_bs1,22,1,3,32,22,1900,1900,1900,2028,64,0.9,confidence_cutoff,1,105.17344599975331,105.17344599975331,105.17344599975331,105.17344599975331,False
exp1_bs1,23,1,0,32,23,2000,2000,2000,2032,64,0.9,confidence_cutoff,6,465.139308002108,77.52321800035133,71.58662500114588,105.3373830000055,False
exp1_bs1,23,1,1,32,23,2000,2000,2000,2064,64,0.9,confidence_cutoff,1,107.92347899950983,107.92347899950983,107.92347899950983,107.92347899950983,False
exp1_bs1,23,1,2,32,23,2000,2000,2000,2096,64,0.9,confidence_cutoff,1,108.04959800043434,108.04959800043434,108.04959800043434,108.04959800043434,False
exp1_bs1,23,1,3,32,23,2000,2000,2000,2128,64,0.9,confidence_cutoff,1,114.64502499984519,114.64502499984519,114.64502499984519,114.64502499984519,False
