request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0-regime-0,0,1,0.89,4,64,q-head,832,65028,65536,1993,176,0,176,176,0,1993,9271,0.17693536931818182,0.0,1.0,832,176,0.7884615384615384,4.7272727272727275,13631488,2883584,2.3954326923076925,11.323863636363637,32653312,137438953472,1744830464,184549376,1560281088,0.00023758411407470703,0.02092783938172043,510208,33280,63776,1408,5632,104096,0.00775146484375,0.0127944885280187
context-0-regime-0,0,1,0.89,4,128,q-head,832,65028,65536,1993,176,0,176,176,0,1993,20535,0.08846768465909091,0.0,1.0,832,176,0.7884615384615384,4.7272727272727275,13631488,2883584,2.3954326923076925,11.323863636363637,32653312,137438953472,1744830464,369098752,1375731712,0.00023758411407470703,0.023735232469512195,510208,33280,63776,1408,5632,104096,0.00775146484375,0.0127944885280187
context-0-regime-0,0,1,0.89,4,64,kv-head,832,65028,65536,1993,176,0,176,176,0,1993,9271,0.17693536931818182,0.0,1.0,832,176,0.7884615384615384,4.7272727272727275,13631488,2883584,2.3954326923076925,11.323863636363637,32653312,137438953472,1744830464,184549376,1560281088,0.00023758411407470703,0.02092783938172043,510208,33280,63776,1408,5632,104096,0.00775146484375,0.0127944885280187
context-0-regime-0,0,1,0.89,4,128,kv-head,832,65028,65536,1993,176,0,176,176,0,1993,20535,0.08846768465909091,0.0,1.0,832,176,0.7884615384615384,4.7272727272727275,13631488,2883584,2.3954326923076925,11.323863636363637,32653312,137438953472,1744830464,369098752,1375731712,0.00023758411407470703,0.023735232469512195,510208,33280,63776,1408,5632,104096,0.00775146484375,0.0127944885280187
context-0-regime-0,0,1,0.89,8,64,q-head,1455,65028,65536,6015,225,17,224,241,1088,4927,9409,0.38997665975103735,0.18088113050706567,0.8191188694929343,1455,241,0.8343642611683849,6.037344398340249,23838720,3948544,4.134020618556701,24.95850622406639,98549760,137438953472,3051356160,252706816,2798649344,0.0007170438766479492,0.03521332896215811,1539840,58200,192480,1800,7712,260192,0.00775146484375,0.02237497693301347
context-0-regime-0,0,1,0.89,8,128,q-head,1455,65028,65536,6015,225,0,225,225,0,6015,22785,0.20885416666666667,0.0,1.0,1455,225,0.845360824742268,6.466666666666667,23838720,3686400,4.134020618556701,26.733333333333334,98549760,137438953472,3051356160,471859200,2579496960,0.0007170438766479492,0.03820503048780488,1539840,58200,192480,1800,7200,259680,0.00775146484375,0.02237497693301347
context-0-regime-0,0,1,0.89,8,64,kv-head,1455,65028,65536,6015,225,17,224,241,1088,4927,9409,0.38997665975103735,0.18088113050706567,0.8191188694929343,1455,241,0.8343642611683849,6.037344398340249,23838720,3948544,4.134020618556701,24.95850622406639,98549760,137438953472,3051356160,252706816,2798649344,0.0007170438766479492,0.03521332896215811,1539840,58200,192480,1800,7712,260192,0.00775146484375,0.02237497693301347
context-0-regime-0,0,1,0.89,8,128,kv-head,1455,65028,65536,6015,225,0,225,225,0,6015,22785,0.20885416666666667,0.0,1.0,1455,225,0.845360824742268,6.466666666666667,23838720,3686400,4.134020618556701,26.733333333333334,98549760,137438953472,3051356160,471859200,2579496960,0.0007170438766479492,0.03820503048780488,1539840,58200,192480,1800,7200,259680,0.00775146484375,0.02237497693301347
context-0-regime-0,0,1,0.89,16,64,q-head,2620,65028,65536,20093,315,184,314,498,11776,8317,11779,0.6304279618473896,0.5860747524013338,0.4139252475986662,2620,498,0.8099236641221375,5.261044176706827,42926080,8159232,7.669083969465649,40.34738955823293,329203712,137438953472,5494538240,522190848,4972347392,0.0023952722549438477,0.06620690109658373,5143808,104800,642976,2520,15936,766232,0.00775146484375,0.0402903364704435
context-0-regime-0,0,1,0.89,16,128,q-head,2620,65028,65536,20093,315,48,314,362,6144,13949,26243,0.43363691298342544,0.30577813168765244,0.6942218683123476,2620,362,0.8618320610687022,7.237569060773481,42926080,5931008,7.669083969465649,55.505524861878456,329203712,137438953472,5494538240,759169024,4735369216,0.0023952722549438477,0.069520178255093,5143808,104800,642976,2520,11584,761880,0.00775146484375,0.0402903364704435
