dimension,value,active_count,tile_count
kv_head,12,95,844
kv_head,12,96,910
kv_head,12,97,955
kv_head,12,98,948
kv_head,12,99,958
kv_head,12,100,974
kv_head,12,101,953
kv_head,12,102,979
kv_head,12,103,1041
kv_head,12,104,1058
kv_head,12,105,1017
kv_head,12,106,1149
kv_head,12,107,1147
kv_head,12,108,1179
kv_head,12,109,1161
kv_head,12,110,1222
kv_head,12,111,1283
kv_head,12,112,1301
kv_head,12,113,1331
kv_head,12,114,1419
kv_head,12,115,1507
kv_head,12,116,1570
kv_head,12,117,1615
kv_head,12,118,1787
kv_head,12,119,1901
kv_head,12,120,1986
kv_head,12,121,2131
kv_head,12,122,2301
kv_head,12,123,2515
kv_head,12,124,2615
kv_head,12,125,3248
kv_head,12,126,4027
kv_head,12,127,6068
kv_head,12,128,30984
kv_head,13,0,100336
kv_head,13,1,22628
kv_head,13,2,14558
kv_head,13,3,10982
kv_head,13,4,8649
kv_head,13,5,7414
kv_head,13,6,6376
kv_head,13,7,5522
kv_head,13,8,5139
kv_head,13,9,4512
kv_head,13,10,4251
kv_head,13,11,3834
kv_head,13,12,3610
kv_head,13,13,3407
kv_head,13,14,3263
kv_head,13,15,2971
kv_head,13,16,2871
kv_head,13,17,2733
kv_head,13,18,2617
kv_head,13,19,2516
kv_head,13,20,2423
kv_head,13,21,2291
kv_head,13,22,2200
kv_head,13,23,2089
kv_head,13,24,1969
kv_head,13,25,1921
kv_head,13,26,1899
kv_head,13,27,1870
kv_head,13,28,1745
kv_head,13,29,1648
kv_head,13,30,1655
kv_head,13,31,1619
kv_head,13,32,1582
kv_head,13,33,1587
kv_head,13,34,1553
kv_head,13,35,1466
kv_head,13,36,1424
kv_head,13,37,1416
kv_head,13,38,1421
kv_head,13,39,1411
kv_head,13,40,1333
kv_head,13,41,1317
kv_head,13,42,1244
kv_head,13,43,1221
kv_head,13,44,1254
kv_head,13,45,1123
kv_head,13,46,1139
kv_head,13,47,1160
kv_head,13,48,1194
kv_head,13,49,1160
kv_head,13,50,1147
kv_head,13,51,1087
kv_head,13,52,1072
kv_head,13,53,1078
kv_head,13,54,1086
kv_head,13,55,1125
kv_head,13,56,1034
kv_head,13,57,955
kv_head,13,58,1006
kv_head,13,59,1001
kv_head,13,60,1032
kv_head,13,61,948
kv_head,13,62,1021
kv_head,13,63,1046
kv_head,13,64,1010
kv_head,13,65,980
kv_head,13,66,958
kv_head,13,67,928
kv_head,13,68,921
kv_head,13,69,974
kv_head,13,70,896
kv_head,13,71,920
kv_head,13,72,920
kv_head,13,73,938
kv_head,13,74,877
kv_head,13,75,829
kv_head,13,76,924
kv_head,13,77,839
kv_head,13,78,874
kv_head,13,79,863
kv_head,13,80,874
kv_head,13,81,867
kv_head,13,82,864
kv_head,13,83,880
kv_head,13,84,907
kv_head,13,85,821
kv_head,13,86,885
kv_head,13,87,877
kv_head,13,88,893
kv_head,13,89,882
kv_head,13,90,827
kv_head,13,91,838
kv_head,13,92,880
kv_head,13,93,862
kv_head,13,94,852
kv_head,13,95,877
kv_head,13,96,879
kv_head,13,97,902
kv_head,13,98,889
kv_head,13,99,864
kv_head,13,100,908
kv_head,13,101,898
kv_head,13,102,938
kv_head,13,103,969
kv_head,13,104,956
kv_head,13,105,1005
kv_head,13,106,970
kv_head,13,107,1005
kv_head,13,108,1013
kv_head,13,109,1073
kv_head,13,110,1006
kv_head,13,111,1114
kv_head,13,112,1152
kv_head,13,113,1133
kv_head,13,114,1154
kv_head,13,115,1246
kv_head,13,116,1289
kv_head,13,117,1441
kv_head,13,118,1600
kv_head,13,119,1637
kv_head,13,120,1693
kv_head,13,121,1804
kv_head,13,122,2184
kv_head,13,123,2808
kv_head,13,124,2741
kv_head,13,125,3203
kv_head,13,126,3865
kv_head,13,127,4955
kv_head,13,128,35224
kv_head,14,0,104794
kv_head,14,1,22787
kv_head,14,2,14496
kv_head,14,3,10724
kv_head,14,4,8654
kv_head,14,5,6979
kv_head,14,6,6054
kv_head,14,7,5373
kv_head,14,8,4693
kv_head,14,9,4296
kv_head,14,10,4000
kv_head,14,11,3736
kv_head,14,12,3350
kv_head,14,13,3214
kv_head,14,14,2992
kv_head,14,15,2735
kv_head,14,16,2576
kv_head,14,17,2413
kv_head,14,18,2355
kv_head,14,19,2167
kv_head,14,20,2108
kv_head,14,21,2036
kv_head,14,22,1948
kv_head,14,23,1907
kv_head,14,24,1793
kv_head,14,25,1710
kv_head,14,26,1631
kv_head,14,27,1638
kv_head,14,28,1524
kv_head,14,29,1510
kv_head,14,30,1386
kv_head,14,31,1454
kv_head,14,32,1369
kv_head,14,33,1355
kv_head,14,34,1354
kv_head,14,35,1278
kv_head,14,36,1234
kv_head,14,37,1252
kv_head,14,38,1277
kv_head,14,39,1242
kv_head,14,40,1267
kv_head,14,41,1208
kv_head,14,42,1221
kv_head,14,43,1153
kv_head,14,44,1158
kv_head,14,45,1188
kv_head,14,46,1117
kv_head,14,47,1175
kv_head,14,48,1086
kv_head,14,49,1046
kv_head,14,50,1062
kv_head,14,51,1120
kv_head,14,52,1106
kv_head,14,53,1036
kv_head,14,54,1059
kv_head,14,55,1089
kv_head,14,56,1079
kv_head,14,57,1042
kv_head,14,58,1080
kv_head,14,59,1120
kv_head,14,60,1105
kv_head,14,61,1052
kv_head,14,62,1054
kv_head,14,63,1037
kv_head,14,64,1103
kv_head,14,65,1066
kv_head,14,66,1019
kv_head,14,67,1006
kv_head,14,68,1016
kv_head,14,69,1028
kv_head,14,70,975
kv_head,14,71,969
kv_head,14,72,1051
kv_head,14,73,970
kv_head,14,74,958
kv_head,14,75,967
kv_head,14,76,968
kv_head,14,77,917
kv_head,14,78,895
kv_head,14,79,1022
kv_head,14,80,911
kv_head,14,81,920
kv_head,14,82,898
kv_head,14,83,899
kv_head,14,84,909
kv_head,14,85,894
kv_head,14,86,931
kv_head,14,87,973
kv_head,14,88,907
kv_head,14,89,948
kv_head,14,90,996
kv_head,14,91,947
kv_head,14,92,932
kv_head,14,93,976
kv_head,14,94,906
kv_head,14,95,989
kv_head,14,96,982
kv_head,14,97,999
kv_head,14,98,1000
kv_head,14,99,998
kv_head,14,100,991
kv_head,14,101,967
kv_head,14,102,1086
kv_head,14,103,1062
kv_head,14,104,1134
kv_head,14,105,1140
kv_head,14,106,1100
kv_head,14,107,1118
kv_head,14,108,1203
kv_head,14,109,1160
kv_head,14,110,1226
kv_head,14,111,1216
kv_head,14,112,1310
kv_head,14,113,1219
kv_head,14,114,1386
kv_head,14,115,1403
kv_head,14,116,1422
kv_head,14,117,1528
kv_head,14,118,1548
kv_head,14,119,1783
kv_head,14,120,1760
kv_head,14,121,1971
kv_head,14,122,2068
kv_head,14,123,2235
kv_head,14,124,2482
kv_head,14,125,2949
kv_head,14,126,3650
kv_head,14,127,5398
kv_head,14,128,34802
kv_head,15,0,118431
kv_head,15,1,21941
kv_head,15,2,13673
kv_head,15,3,9951
kv_head,15,4,8084
kv_head,15,5,6667
kv_head,15,6,5900
kv_head,15,7,5047
kv_head,15,8,4634
kv_head,15,9,4244
kv_head,15,10,3833
kv_head,15,11,3466
kv_head,15,12,3165
kv_head,15,13,3003
kv_head,15,14,2920
kv_head,15,15,2747
kv_head,15,16,2465
kv_head,15,17,2369
kv_head,15,18,2240
kv_head,15,19,2165
kv_head,15,20,2075
kv_head,15,21,2024
kv_head,15,22,2020
kv_head,15,23,1936
kv_head,15,24,1704
kv_head,15,25,1783
kv_head,15,26,1677
kv_head,15,27,1602
kv_head,15,28,1652
kv_head,15,29,1426
kv_head,15,30,1507
kv_head,15,31,1448
kv_head,15,32,1429
kv_head,15,33,1390
kv_head,15,34,1373
kv_head,15,35,1346
kv_head,15,36,1268
kv_head,15,37,1222
kv_head,15,38,1287
kv_head,15,39,1257
kv_head,15,40,1258
kv_head,15,41,1180
kv_head,15,42,1168
kv_head,15,43,1125
kv_head,15,44,1118
kv_head,15,45,1100
kv_head,15,46,1086
kv_head,15,47,1004
kv_head,15,48,1002
kv_head,15,49,1042
kv_head,15,50,956
kv_head,15,51,1017
kv_head,15,52,936
kv_head,15,53,982
kv_head,15,54,997
kv_head,15,55,964
kv_head,15,56,911
kv_head,15,57,928
kv_head,15,58,926
kv_head,15,59,908
kv_head,15,60,922
kv_head,15,61,934
kv_head,15,62,902
kv_head,15,63,952
kv_head,15,64,988
kv_head,15,65,1014
kv_head,15,66,1008
kv_head,15,67,901
kv_head,15,68,931
kv_head,15,69,836
kv_head,15,70,891
kv_head,15,71,836
kv_head,15,72,840
kv_head,15,73,842
kv_head,15,74,842
kv_head,15,75,806
kv_head,15,76,847
kv_head,15,77,861
kv_head,15,78,831
kv_head,15,79,896
kv_head,15,80,871
kv_head,15,81,798
kv_head,15,82,800
kv_head,15,83,824
kv_head,15,84,792
kv_head,15,85,829
kv_head,15,86,893
kv_head,15,87,827
kv_head,15,88,909
kv_head,15,89,908
kv_head,15,90,896
kv_head,15,91,921
kv_head,15,92,947
kv_head,15,93,1014
kv_head,15,94,1002
kv_head,15,95,976
kv_head,15,96,1039
kv_head,15,97,994
kv_head,15,98,960
kv_head,15,99,1024
kv_head,15,100,1044
kv_head,15,101,1039
kv_head,15,102,1065
kv_head,15,103,1092
kv_head,15,104,1087
kv_head,15,105,1158
kv_head,15,106,1238
kv_head,15,107,1135
kv_head,15,108,1149
kv_head,15,109,1169
kv_head,15,110,1264
kv_head,15,111,1363
kv_head,15,112,1398
kv_head,15,113,1412
kv_head,15,114,1469
kv_head,15,115,1576
kv_head,15,116,1569
kv_head,15,117,1595
kv_head,15,118,1592
kv_head,15,119,1611
kv_head,15,120,1732
kv_head,15,121,1756
kv_head,15,122,1964
kv_head,15,123,2110
kv_head,15,124,2476
kv_head,15,125,3123
kv_head,15,126,4126
kv_head,15,127,6404
kv_head,15,128,28417
kv_head,16,0,107329
kv_head,16,1,21760
kv_head,16,2,13734
kv_head,16,3,10192
kv_head,16,4,8355
kv_head,16,5,6767
kv_head,16,6,5827
kv_head,16,7,5135
kv_head,16,8,4641
kv_head,16,9,4278
kv_head,16,10,3845
kv_head,16,11,3630
kv_head,16,12,3374
kv_head,16,13,3243
kv_head,16,14,3004
kv_head,16,15,2766
kv_head,16,16,2561
kv_head,16,17,2439
kv_head,16,18,2472
kv_head,16,19,2322
kv_head,16,20,2228
kv_head,16,21,2192
kv_head,16,22,2159
kv_head,16,23,2013
kv_head,16,24,1978
kv_head,16,25,1840
kv_head,16,26,1879
kv_head,16,27,1887
kv_head,16,28,1743
kv_head,16,29,1705
kv_head,16,30,1756
kv_head,16,31,1659
kv_head,16,32,1586
kv_head,16,33,1597
kv_head,16,34,1514
kv_head,16,35,1474
kv_head,16,36,1454
kv_head,16,37,1453
kv_head,16,38,1388
kv_head,16,39,1341
kv_head,16,40,1355
kv_head,16,41,1342
kv_head,16,42,1271
kv_head,16,43,1328
kv_head,16,44,1251
kv_head,16,45,1247
kv_head,16,46,1185
kv_head,16,47,1182
kv_head,16,48,1196
kv_head,16,49,1093
kv_head,16,50,1121
kv_head,16,51,1101
kv_head,16,52,1047
kv_head,16,53,1059
kv_head,16,54,1055
kv_head,16,55,1063
kv_head,16,56,1042
kv_head,16,57,994
kv_head,16,58,1011
kv_head,16,59,1044
kv_head,16,60,1032
kv_head,16,61,956
kv_head,16,62,967
kv_head,16,63,1058
kv_head,16,64,978
kv_head,16,65,911
kv_head,16,66,878
kv_head,16,67,927
kv_head,16,68,904
kv_head,16,69,916
kv_head,16,70,868
kv_head,16,71,879
kv_head,16,72,913
kv_head,16,73,835
kv_head,16,74,919
kv_head,16,75,914
kv_head,16,76,891
kv_head,16,77,889
kv_head,16,78,865
kv_head,16,79,840
kv_head,16,80,808
kv_head,16,81,854
kv_head,16,82,840
kv_head,16,83,796
kv_head,16,84,836
kv_head,16,85,822
kv_head,16,86,869
kv_head,16,87,844
kv_head,16,88,843
kv_head,16,89,835
kv_head,16,90,884
kv_head,16,91,838
kv_head,16,92,841
kv_head,16,93,892
kv_head,16,94,866
kv_head,16,95,852
kv_head,16,96,914
kv_head,16,97,899
kv_head,16,98,902
kv_head,16,99,909
kv_head,16,100,990
kv_head,16,101,963
kv_head,16,102,1023
kv_head,16,103,999
kv_head,16,104,1066
kv_head,16,105,1126
kv_head,16,106,1147
kv_head,16,107,1283
kv_head,16,108,1246
kv_head,16,109,1254
kv_head,16,110,1263
kv_head,16,111,1343
kv_head,16,112,1345
kv_head,16,113,1363
kv_head,16,114,1400
kv_head,16,115,1460
kv_head,16,116,1487
kv_head,16,117,1556
kv_head,16,118,1721
kv_head,16,119,1679
kv_head,16,120,1805
kv_head,16,121,1984
kv_head,16,122,2050
kv_head,16,123,2184
kv_head,16,124,2553
kv_head,16,125,2846
kv_head,16,126,3456
kv_head,16,127,5100
kv_head,16,128,34533
kv_head,17,0,109658
kv_head,17,1,21955
kv_head,17,2,13875
kv_head,17,3,10352
kv_head,17,4,8319
kv_head,17,5,7333
kv_head,17,6,6305
kv_head,17,7,5534
kv_head,17,8,5086
kv_head,17,9,4567
kv_head,17,10,4155
kv_head,17,11,3847
kv_head,17,12,3567
kv_head,17,13,3315
kv_head,17,14,3080
kv_head,17,15,2774
kv_head,17,16,2704
kv_head,17,17,2578
kv_head,17,18,2342
kv_head,17,19,2340
kv_head,17,20,2154
kv_head,17,21,2078
kv_head,17,22,2027
kv_head,17,23,1889
kv_head,17,24,1840
kv_head,17,25,1736
kv_head,17,26,1631
kv_head,17,27,1617
