request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0,0,1,0.5,8,128,kv-head,2027,61339,65536,7519,417,0,417,417,0,7519,45857,0.1408685551558753,0.0,1.0,2027,417,0.7942772570300938,4.860911270983213,33210368,6832128,3.7094227923038976,18.031175059952037,123191296,137438953472,4250927104,874512384,3376414720,0.0008963346481323242,0.03648583074534161,1924864,81080,240608,3336,13344,338368,0.0640411376953125,0.033045859893379416
context-0,0,1,0.5,16,64,q-head,3880,61339,65536,30479,534,283,532,815,18112,12367,21681,0.5843366564417178,0.5942452180189639,0.40575478198103615,3880,815,0.7899484536082474,4.7607361963190185,63569920,13352960,7.855412371134021,37.39754601226994,499367936,137438953472,8136949760,854589440,7282360320,0.0036333799362182617,0.06857226421886249,7802624,155200,975328,4272,26080,1160880,0.0640411376953125,0.06325502535091866
context-0,0,1,0.5,16,128,q-head,3880,61339,65536,30479,534,86,533,619,11008,19471,48753,0.3846804321486268,0.36116670494438796,0.638833295055612,3880,619,0.8404639175257732,6.268174474959612,63569920,10141696,7.855412371134021,49.23909531502423,499367936,137438953472,8136949760,1298137088,6838812672,0.0036333799362182617,0.0730196833793315,7802624,155200,975328,4272,19808,1154608,0.0640411376953125,0.06325502535091866
context-0,0,1,0.5,16,64,kv-head,3880,61339,65536,30479,534,283,532,815,18112,12367,21681,0.5843366564417178,0.5942452180189639,0.40575478198103615,3880,815,0.7899484536082474,4.7607361963190185,63569920,13352960,7.855412371134021,37.39754601226994,499367936,137438953472,8136949760,854589440,7282360320,0.0036333799362182617,0.06857226421886249,7802624,155200,975328,4272,26080,1160880,0.0640411376953125,0.06325502535091866
context-0,0,1,0.5,16,128,kv-head,3880,61339,65536,30479,534,86,533,619,11008,19471,48753,0.3846804321486268,0.36116670494438796,0.638833295055612,3880,619,0.8404639175257732,6.268174474959612,63569920,10141696,7.855412371134021,49.23909531502423,499367936,137438953472,8136949760,1298137088,6838812672,0.0036333799362182617,0.0730196833793315,7802624,155200,975328,4272,19808,1154608,0.0640411376953125,0.06325502535091866
context-0,0,1,0.5,32,64,q-head,6132,61339,65536,85199,726,982,716,1698,62848,22351,23473,0.784001398704358,0.7376612401554009,0.2623387598445991,6132,1698,0.723091976516634,3.6113074204946995,100466688,27820032,13.89416177429876,50.176089517078914,1395900416,137438953472,12859736064,1780482048,11079254016,0.010156512260437012,0.12599227474919553,21810944,245280,2726368,5808,54336,3031792,0.0640411376953125,0.09996902460098796
context-0,0,1,0.5,32,128,q-head,6132,61339,65536,85199,726,366,721,1087,46848,38351,53937,0.6123433187672493,0.5498656087512764,0.45013439124872356,6132,1087,0.8227332028701891,5.641214351425943,100466688,17809408,13.89416177429876,78.37994480220792,1395900416,137438953472,12859736064,2279604224,10580131840,0.010156512260437012,0.13193601337958374,21810944,245280,2726368,5808,34784,3012240,0.0640411376953125,0.09996902460098796
context-0,0,1,0.5,32,64,kv-head,6132,61339,65536,85199,726,982,716,1698,62848,22351,23473,0.784001398704358,0.7376612401554009,0.2623387598445991,6132,1698,0.723091976516634,3.6113074204946995,100466688,27820032,13.89416177429876,50.176089517078914,1395900416,137438953472,12859736064,1780482048,11079254016,0.010156512260437012,0.12599227474919553,21810944,245280,2726368,5808,54336,3031792,0.0640411376953125,0.09996902460098796
context-0,0,1,0.5,32,128,kv-head,6132,61339,65536,85199,726,366,721,1087,46848,38351,53937,0.6123433187672493,0.5498656087512764,0.45013439124872356,6132,1087,0.8227332028701891,5.641214351425943,100466688,17809408,13.89416177429876,78.37994480220792,1395900416,137438953472,12859736064,2279604224,10580131840,0.010156512260437012,0.13193601337958374,21810944,245280,2726368,5808,34784,3012240,0.0640411376953125,0.09996902460098796
context-0,0,2,0.15,1,64,q-head,3980,41634,65536,3980,1485,0,1485,1485,0,3980,91060,0.041877104377104374,0.0,1.0,3980,1485,0.6268844221105527,2.68013468013468,65208320,24330240,1.0,2.68013468013468,65208320,137438953472,8346664960,1557135360,6789529600,0.0004744529724121094,0.009604247104247104,1018880,159200,127360,11880,47520,345960,0.364715576171875,0.0955949464380074
context-0,0,2,0.15,1,128,q-head,3980,41634,65536,3980,1485,0,1485,1485,0,3980,186100,0.020938552188552187,0.0,1.0,3980,1485,0.6268844221105527,2.68013468013468,65208320,24330240,1.0,2.68013468013468,65208320,137438953472,8346664960,3114270720,5232394240,0.0004744529724121094,0.012462424849699399,1018880,159200,127360,11880,47520,345960,0.364715576171875,0.0955949464380074
