split,scope,policy,new_maximum_protection,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum,physical_tiles,baseline_kept_tiles,candidate_tiles,replaced_tiles,physical_replacement_fraction,kept_replacement_fraction
calibration,all_rows,exact_vetomax_lt_0.01,all_rows,18432,18432,0.0010378860453938358,0.09119910001754761,0.0,18432,0.9999944572983723,1.0000003576278687,0.9959860444068909,0.31047213077545166,18432,0.0007594528368725958,0.08371436595916748,0.0,18432,0.0010008005859895844,0.11218162626028061,0.0,9216,6498,1781,127,0.013780381944444444,0.019544475223145584
calibration,all_rows,exact_vetomax_lt_0.01,none,18432,18432,0.0025768209274450583,0.20852357149124146,0.0,18432,0.9999782434638796,1.0000003576278687,0.9783741235733032,0.31057167053222656,18432,0.0029910851606271332,0.24690121412277222,0.0,18432,0.0032252536563795726,0.2785089612007141,0.0,9216,6498,1781,231,0.025065104166666668,0.035549399815327794
calibration,all_rows,exact_vetomax_lt_0.01,veto_rows,18432,18432,0.0010378860453938358,0.09119910001754761,0.0,18432,0.9999944572983723,1.0000003576278687,0.9959860444068909,0.31047213077545166,18432,0.0007594528368725958,0.08371436595916748,0.0,18432,0.0010008005859895844,0.11218162626028061,0.0,9216,6498,1781,127,0.013780381944444444,0.019544475223145584
calibration,all_rows,exact_vetomax_lt_0.03,all_rows,18432,18432,0.007150041580346987,0.2249094545841217,0.0,18432,0.9998957188185563,1.0000003576278687,0.9755172729492188,2.037630081176758,18432,0.00830779622709896,0.25723791122436523,0.0,18432,0.00824925053403814,0.2709463834762573,0.0,9216,6498,1781,472,0.051215277777777776,0.07263773468759618
calibration,all_rows,exact_vetomax_lt_0.03,none,18432,18432,0.016862010641382055,0.32776737213134766,0.0,18432,0.9995683710278374,1.0000003576278687,0.9520726203918457,2.038536548614502,18432,0.030588119517132226,0.5764473676681519,0.0,18432,0.03108463751902772,0.5956830382347107,0.0,9216,6498,1781,855,0.0927734375,0.13157894736842105
calibration,all_rows,exact_vetomax_lt_0.03,veto_rows,18432,18432,0.007150041580346987,0.2249094545841217,0.0,18432,0.9998957188185563,1.0000003576278687,0.9755172729492188,2.037630081176758,18432,0.00830779622709896,0.25723791122436523,0.0,18432,0.00824925053403814,0.2709463834762573,0.0,9216,6498,1781,472,0.051215277777777776,0.07263773468759618
calibration,all_rows,predicted_error_lt_0.001,all_rows,18432,18432,2.134064624820435e-06,0.0022843522019684315,0.0,18432,0.9999999919188364,1.0000003576278687,0.9999974966049194,0.01002359390258789,18432,1.7423266803638803e-06,0.0020949244499206543,0.0,18432,1.776758829409528e-06,0.0023311416152864695,0.0,9216,6498,1781,4,0.00043402777777777775,0.0006155740227762388
calibration,all_rows,predicted_error_lt_0.001,none,18432,18432,2.134064624820435e-06,0.0022843522019684315,0.0,18432,0.9999999919188364,1.0000003576278687,0.9999974966049194,0.01002359390258789,18432,1.7423266803638803e-06,0.0020949244499206543,0.0,18432,1.776758829409528e-06,0.0023311416152864695,0.0,9216,6498,1781,4,0.00043402777777777775,0.0006155740227762388
calibration,all_rows,predicted_error_lt_0.001,veto_rows,18432,18432,2.134064624820435e-06,0.0022843522019684315,0.0,18432,0.9999999919188364,1.0000003576278687,0.9999974966049194,0.01002359390258789,18432,1.7423266803638803e-06,0.0020949244499206543,0.0,18432,1.776758829409528e-06,0.0023311416152864695,0.0,9216,6498,1781,4,0.00043402777777777775,0.0006155740227762388
calibration,all_rows,predicted_error_lt_0.003,all_rows,18432,18432,2.497938045727295e-05,0.01021149754524231,0.0,18432,0.9999999616540864,1.0000003576278687,0.9999493956565857,0.0806732177734375,18432,1.707480664158033e-05,0.010655462741851807,0.0,18432,2.372395167365273e-05,0.010707108303904533,0.0,9216,6498,1781,13,0.0014105902777777778,0.0020006155740227762
