split,scope,method,rows,u_cosine_count,u_cosine_mean,u_cosine_maximum,u_cosine_minimum,relative_u_error_count,relative_u_error_mean,relative_u_error_maximum,relative_u_error_minimum,relative_contribution_error_count,relative_contribution_error_mean,relative_contribution_error_maximum,relative_contribution_error_minimum,worst_veto_row_relative_u_error_count,worst_veto_row_relative_u_error_mean,worst_veto_row_relative_u_error_maximum,worst_veto_row_relative_u_error_minimum
calibration,all_rows,top_1_mean_v,227968,227968,0.7157025037631704,1.0000001192092896,-0.6215885877609253,227968,1.3154916120264826,10.850113868713379,5.9956309996778145e-06,227968,0.011477521961059632,1.5254621505737305,1.7477272613083267e-13,1781,1.1234550514703507,5.52133321762085,0.00010946834663627669
calibration,all_rows,top_2_mean_v,227968,227968,0.7994747124355222,1.0,-0.6094406247138977,227968,0.9814753974814193,7.076089859008789,0.0002161356242140755,227968,0.009851402773700219,1.8405303955078125,7.02810070340662e-14,1781,1.2292785395376316,5.380986213684082,0.0008612275123596191
calibration,all_rows,top_4_mean_v,227968,227968,0.8395477536793327,1.0,-0.6615700721740723,227968,0.7326285416678535,6.366776466369629,0.0002161356242140755,227968,0.008149252074876268,1.30298912525177,5.68877559533991e-14,1781,1.105393944715648,5.336843490600586,0.0008612275123596191
calibration,all_rows,top_8_mean_v,227968,227968,0.8427509490340984,1.0,-0.49338358640670776,227968,0.6057456822451431,5.576858997344971,0.0002161356242140755,227968,0.007252274441634287,1.317689299583435,2.7649786282714535e-14,1781,1.0155596043722384,5.028875827789307,0.0008612275123596191
calibration,all_rows,uniform_r1,227968,227968,0.6568623220334886,0.9999815225601196,-0.4273096024990082,227968,0.7656188487511937,3.774380922317505,0.006137701217085123,227968,0.008776951672936689,1.0595096349716187,6.031384837098044e-14,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
calibration,all_rows,uniform_r2,227968,227968,0.6769046949090691,0.9999579191207886,-0.3774629235267639,227968,0.7442235555627131,3.7704989910125732,0.009390114806592464,227968,0.008600430135076468,1.0590792894363403,6.353369843030074e-14,1781,1.0618520147140478,3.3146414756774902,0.06968384981155396
calibration,all_rows,uniform_r4,227968,227968,0.7025536611986342,0.9999526739120483,-0.4118673801422119,227968,0.7154838908680606,3.6992878913879395,0.01064941007643938,227968,0.00834269312289911,1.0897568464279175,6.443912244080696e-14,1781,1.0432774567833314,3.32869553565979,0.06116928160190582
calibration,all_rows,uniform_r8,227968,227968,0.7352915798936976,0.9999836087226868,-0.4048841893672943,227968,0.6761331410336531,4.563313007354736,0.007431237958371639,227968,0.007994865094728942,1.2327888011932373,6.621184720292939e-14,1781,1.010999903114223,3.4451544284820557,0.052044983953237534
calibration,all_rows,zero,227968,227968,0.0,0.0,0.0,227968,0.9999999994472724,1.0,0.9999998807907104,227968,0.010196601150975688,0.9904905557632446,1.841450847058293e-13,1781,0.9999999997322644,1.0,0.9999999403953552
calibration,veto_only,kmeans_joint_r1,5863,5863,0.5115766063383071,0.9988512992858887,-0.3832223117351532,5863,0.9402510609154345,3.348433256149292,0.06115458160638809,5863,0.06737645221280877,1.0595096349716187,3.859385287796613e-06,1781,1.0716153337572614,3.348433256149292,0.06914883852005005
