split,context,remaining_mask_ratio,noise_phase,layer,head,query_tile,candidate_tiles,new_maximum_candidates,mean_veto_row_relative_mass_error,mean_veto_row_relative_value_error,compact_mean_relative_output_error,compact_masked_mean_relative_output_error,compact_visible_mean_relative_output_error,compact_minimum_row_cosine,veto_oracle_mean_relative_output_error
test,7,0.5,mid,0,0,26,14,0,0.4119550585746765,0.325835645198822,0.03894695267081261,0.04526062682271004,0.03387823328375816,0.9792360663414001,0.06387384235858917
test,7,0.5,mid,0,7,26,0,0,0.0,0.0,0.0,0.0,0.0,0.9999997615814209,0.0
test,7,0.5,mid,0,15,26,7,1,0.8909170031547546,0.5924488306045532,0.07462497055530548,0.044345445930957794,0.09893389046192169,0.969707727432251,0.08130519837141037
test,7,0.5,mid,0,31,26,0,0,0.0,0.0,0.0,0.0,0.0,0.9999997615814209,0.0
test,7,0.5,mid,15,0,26,1,0,3.23349928855896,0.9552198052406311,0.009836442768573761,0.009439286775887012,0.010155288502573967,0.9861495494842529,0.01373013760894537
test,7,0.5,mid,15,7,26,30,18,0.4367906153202057,0.9227753281593323,0.20328183472156525,0.1911875307559967,0.2129913568496704,0.669387936592102,0.5235768556594849
test,7,0.5,mid,15,15,26,10,2,0.45457425713539124,1.0471218824386597,0.07876740396022797,0.0991368219256401,0.062414489686489105,0.692138671875,0.09352311491966248
test,7,0.5,mid,15,31,26,1,1,1.5985970497131348,1.1634715795516968,0.0064730457961559296,0.011965547688305378,0.0020635719411075115,0.930191159248352,0.002107275417074561
test,7,0.5,mid,31,0,26,29,14,0.2446404993534088,0.7549836039543152,0.22101809084415436,0.22809135913848877,0.2153395712375641,0.5555902123451233,0.07579857856035233
test,7,0.5,mid,31,7,26,25,11,0.6269875764846802,0.42301180958747864,0.10038724541664124,0.10199153423309326,0.0990992933511734,0.9350748658180237,0.12332217395305634
test,7,0.5,mid,31,15,26,4,1,0.5841453671455383,0.24023675918579102,0.023849893361330032,0.020479809492826462,0.026555456221103668,0.9896738529205322,0.034329839050769806
test,7,0.5,mid,31,31,26,22,12,0.3986752927303314,0.4484007954597473,0.15099520981311798,0.14417384564876556,0.15647152066230774,0.2995328903198242,0.17253056168556213
test,7,0.15,low,0,0,26,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,7,0.15,low,0,7,26,15,15,0.22080853581428528,0.5799556970596313,0.19055518507957458,0.20604081451892853,0.187687486410141,0.9696695804595947,0.13409486413002014
test,7,0.15,low,0,15,26,2,2,1.3848515748977661,0.7689656019210815,0.09599711000919342,0.0379682257771492,0.10674320161342621,0.9434846639633179,0.09954842925071716
test,7,0.15,low,0,31,26,14,14,0.20353026688098907,0.4423955976963043,0.14513972401618958,0.13470476865768433,0.14707212150096893,0.9652551412582397,0.17480236291885376
test,7,0.15,low,15,0,26,1,1,0.22603631019592285,0.7933728694915771,0.003078814595937729,0.0043739983811974525,0.0028389652725309134,0.9998266696929932,0.004553971812129021
test,7,0.15,low,15,7,26,20,20,0.42436483502388,0.7075179815292358,0.19468170404434204,0.19506733119487762,0.19461028277873993,0.746185839176178,0.4617784321308136
test,7,0.15,low,15,15,26,3,3,0.4248635768890381,0.5897257924079895,0.028187239542603493,0.021190917119383812,0.029482854530215263,0.7808847427368164,0.034462831914424896
test,7,0.15,low,15,31,26,1,1,0.3897591531276703,0.6522490382194519,0.014543497934937477,0.004634613171219826,0.016378477215766907,0.9710510969161987,0.018368160352110863
test,7,0.15,low,31,0,26,18,18,0.14105263352394104,0.7271683812141418,0.21320219337940216,0.269603431224823,0.20275752246379852,0.16167503595352173,0.08858317881822586
test,7,0.15,low,31,7,26,36,36,0.616000235080719,0.4867466390132904,0.2284962236881256,0.21427702903747559,0.23112942278385162,0.8666276931762695,0.3178921937942505
test,7,0.15,low,31,15,26,3,3,0.3075365424156189,0.11260295659303665,0.01994902454316616,0.029171336442232132,0.018241189420223236,0.9965331554412842,0.039417143911123276
test,7,0.15,low,31,31,26,24,24,0.39698275923728943,0.5581294894218445,0.26121121644973755,0.26379916071891785,0.26073193550109863,0.4960680902004242,0.3114764988422394
test,8,0.9,high,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,8,0.9,high,0,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.0
test,8,0.9,high,0,15,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.0
test,8,0.9,high,0,31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.0
test,8,0.9,high,15,0,1,1,0,0.3849012553691864,0.5585784912109375,0.005749129690229893,0.0057734111323952675,0.0055514145642519,0.9982873201370239,0.006332210265100002
test,8,0.9,high,15,7,1,2,0,0.32379525899887085,1.252380609512329,0.01785142347216606,0.014047756791114807,0.048824138939380646,0.9880610704421997,0.01737925410270691
test,8,0.9,high,15,15,1,6,0,0.30923330783843994,0.4159564971923828,0.004978244658559561,0.004898737650364637,0.005625666584819555,0.9988765716552734,0.0076231700368225574
test,8,0.9,high,15,31,1,9,0,0.5005651116371155,0.5481351613998413,0.004254118539392948,0.0028724034782499075,0.015505228191614151,0.9837893843650818,0.004383192863315344
test,8,0.9,high,31,0,1,37,8,0.3116118609905243,0.6639254689216614,0.03457609564065933,0.028312964364886284,0.08557587116956711,0.8942033052444458,0.009317338466644287
test,8,0.9,high,31,7,1,4,0,0.30742499232292175,0.2989991307258606,0.0018621236085891724,0.0015984850469976664,0.00400889478623867,0.9996313452720642,0.00300771277397871
test,8,0.9,high,31,15,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.0
test,8,0.9,high,31,31,1,5,0,0.2822408378124237,0.19374045729637146,0.0031968862749636173,0.002747362246736884,0.006857298780232668,0.9998599290847778,0.005766598973423243
test,8,0.5,mid,0,0,1,1,0,0.6741790771484375,0.8710379600524902,0.003542050952091813,0.005212206859141588,0.0021582073532044888,0.9999579191207886,0.005064619705080986
test,8,0.5,mid,0,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9999997615814209,0.0
test,8,0.5,mid,0,15,1,3,1,0.6199614405632019,0.5250486731529236,0.04568362608551979,0.030563971027731895,0.05821134150028229,0.8506084084510803,0.047745924443006516
test,8,0.5,mid,0,31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,8,0.5,mid,15,0,1,22,15,0.3998078405857086,0.7660729289054871,0.03045373037457466,0.03074556775391102,0.0302119217813015,0.9954443573951721,0.06530208140611649
test,8,0.5,mid,15,7,1,18,11,0.30511802434921265,0.8486363291740417,0.06270056217908859,0.06278515607118607,0.06263046711683273,0.9593853950500488,0.1056753396987915
test,8,0.5,mid,15,15,1,19,8,0.4158519506454468,0.6188956499099731,0.03540094941854477,0.036240510642528534,0.03470531105995178,0.7825073003768921,0.041551753878593445
test,8,0.5,mid,15,31,1,21,12,0.7177378535270691,0.6524316072463989,0.04432901367545128,0.03275436908006668,0.053919434547424316,0.8621114492416382,0.04234138876199722
test,8,0.5,mid,31,0,1,27,20,0.19717520475387573,0.7731569409370422,0.1360129714012146,0.14484438300132751,0.1286955177783966,0.3734407424926758,0.039128825068473816
test,8,0.5,mid,31,7,1,19,10,0.3958684802055359,0.5088936686515808,0.04832170903682709,0.042224038392305374,0.053374070674180984,0.9744553565979004,0.060163624584674835
test,8,0.5,mid,31,15,1,22,7,0.48553285002708435,0.3265881836414337,0.023179680109024048,0.018526002764701843,0.027035586535930634,0.9769071936607361,0.02818574383854866
test,8,0.5,mid,31,31,1,24,13,0.33232831954956055,0.365719735622406,0.09956635534763336,0.11065290868282318,0.09038035571575165,0.9232221841812134,0.13911643624305725
test,8,0.15,low,0,0,1,36,36,0.5406244397163391,0.6200965046882629,0.0847712829709053,0.05103981867432594,0.08858440071344376,0.9473153352737427,0.09652666747570038
test,8,0.15,low,0,7,1,5,5,0.29708078503608704,0.8619650602340698,0.026269404217600822,0.03820190578699112,0.0249205119907856,0.9988449811935425,0.031010722741484642
test,8,0.15,low,0,15,1,31,31,0.4696500301361084,0.4952569305896759,0.11997918784618378,0.08322080224752426,0.12413448095321655,0.976297914981842,0.12873485684394836
test,8,0.15,low,0,31,1,10,10,0.1306043565273285,1.0065586566925049,0.04929020255804062,0.04757373780012131,0.04948423430323601,0.9956983923912048,0.05760085955262184
test,8,0.15,low,15,0,1,34,34,0.48402664065361023,0.9118277430534363,0.06517321616411209,0.09213214367628098,0.06212568283081055,0.9777671098709106,0.17469951510429382
test,8,0.15,low,15,7,1,35,35,0.4220917224884033,0.6804174780845642,0.21505898237228394,0.2563386857509613,0.210392564535141,0.7596211433410645,0.48010915517807007
test,8,0.15,low,15,15,1,24,24,0.40082284808158875,0.7295899987220764,0.08407115191221237,0.09828509390354156,0.08246434479951859,0.5123531818389893,0.08199042081832886
test,8,0.15,low,15,31,1,22,22,0.5213079452514648,0.6837988495826721,0.08277067542076111,0.0547834187746048,0.08593445271253586,0.46564793586730957,0.08131943643093109
test,8,0.15,low,31,0,1,26,26,0.18506330251693726,0.6945853233337402,0.15821634232997894,0.18371354043483734,0.15533404052257538,0.5389872789382935,0.05970574915409088
test,8,0.15,low,31,7,1,32,32,0.6447161436080933,0.4287013113498688,0.15659813582897186,0.14640124142169952,0.15775083005428314,0.9379410147666931,0.16876757144927979
test,8,0.15,low,31,15,1,19,19,0.3773787021636963,0.2592516839504242,0.024329718202352524,0.01293183583766222,0.0256181750446558,0.9978125691413879,0.03446436673402786
test,8,0.15,low,31,31,1,29,29,0.39493444561958313,0.6116382479667664,0.18877102434635162,0.1781085729598999,0.18997631967067719,0.49773716926574707,0.24030709266662598
test,9,0.9,high,0,0,14,4,0,0.3079981505870819,0.18095357716083527,0.010719982907176018,0.011348975822329521,0.006317032501101494,0.9997884631156921,0.016673624515533447
test,9,0.9,high,0,7,14,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,9,0.9,high,0,15,14,10,0,0.39706918597221375,0.35081902146339417,0.019508127123117447,0.01787467673420906,0.030942292883992195,0.999039351940155,0.038967736065387726
test,9,0.9,high,0,31,14,0,0,0.0,0.0,0.0,0.0,0.0,0.9999997615814209,0.0
test,9,0.9,high,15,0,14,17,0,0.641506552696228,0.794956386089325,0.06538364291191101,0.06445854157209396,0.07185932993888855,0.9893734455108643,0.11584991216659546
test,9,0.9,high,15,7,14,13,0,0.3214067816734314,0.8110523223876953,0.03710749372839928,0.03626617416739464,0.042996715754270554,0.9896522164344788,0.07150142639875412
test,9,0.9,high,15,15,14,9,0,0.4228515326976776,0.6159469485282898,0.028372038155794144,0.028910690918564796,0.024601485580205917,0.99306321144104,0.04020608961582184
test,9,0.9,high,15,31,14,6,0,0.41639429330825806,0.8910813927650452,0.016891084611415863,0.012416718527674675,0.04821164906024933,0.8602907657623291,0.01939113438129425
test,9,0.9,high,31,0,14,14,3,0.20911136269569397,0.7204536199569702,0.027192197740077972,0.01832318678498268,0.0892752930521965,0.7982032299041748,0.008349543437361717
test,9,0.9,high,31,7,14,15,1,0.3514314889907837,0.2042132467031479,0.0059799267910420895,0.0017821462824940681,0.035364389419555664,0.9976754188537598,0.007499254308640957
test,9,0.9,high,31,15,14,17,0,1.0657163858413696,0.16147153079509735,0.012752750888466835,0.005778799299150705,0.061570413410663605,0.9902176260948181,0.017386026680469513
test,9,0.9,high,31,31,14,9,0,0.41905951499938965,0.2546517848968506,0.00410882942378521,0.0032092963811010122,0.010405562818050385,0.9997714757919312,0.007799609564244747
test,9,0.5,mid,0,0,14,12,1,0.4376107156276703,0.7094985842704773,0.022717628628015518,0.020472021773457527,0.025262650102376938,0.9915950298309326,0.03494279831647873
test,9,0.5,mid,0,7,14,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.0
test,9,0.5,mid,0,15,14,5,1,0.4293419420719147,0.46454715728759766,0.04754718393087387,0.0362064428627491,0.06040002778172493,0.9908866882324219,0.06400710344314575
test,9,0.5,mid,0,31,14,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
test,9,0.5,mid,15,0,14,7,1,0.4857873320579529,0.7963789105415344,0.024236038327217102,0.029123803600668907,0.01869657076895237,0.9755541682243347,0.03573422133922577
