split,scope,method,rows,relative_output_error_count,relative_output_error_mean,relative_output_error_maximum,relative_output_error_minimum,row_cosine_count,row_cosine_mean,row_cosine_maximum,row_cosine_minimum,maximum_absolute_output_error,relative_denominator_error_count,relative_denominator_error_mean,relative_denominator_error_maximum,relative_denominator_error_minimum,relative_numerator_error_count,relative_numerator_error_mean,relative_numerator_error_maximum,relative_numerator_error_minimum
calibration,veto_only,online_mass__uniform_r8,18432,18432,0.15448249723602608,3.041435956954956,0.0,18432,0.9621436393243938,1.0000003576278687,-0.1216278076171875,7.522431373596191,18432,0.8258191860125711,62.1235466003418,0.0,18432,0.7643907741520949,82.13713073730469,0.0
calibration,veto_only,uniform_joint_r1,18432,18432,0.09101201177328605,2.3883190155029297,0.0,18432,0.9927031785417866,1.0000003576278687,0.1511313021183014,7.122516632080078,18432,0.1174825898585065,0.9912488460540771,0.0,18432,0.10625534044759538,0.9984582662582397,0.0
calibration,veto_only,uniform_joint_r2,18432,18432,0.09074974771615787,2.387730836868286,0.0,18432,0.9927739341647894,1.0000003576278687,0.15204505622386932,7.122514724731445,18432,0.11718598460882074,0.9912452697753906,0.0,18432,0.1060023331730871,0.9984467625617981,0.0
calibration,veto_only,uniform_joint_r4,18432,18432,0.09038470648295426,2.3870534896850586,0.0,18432,0.9928586120796454,1.0000003576278687,0.15643517673015594,7.12250280380249,18432,0.11680695941645859,0.9912415742874146,0.0,18432,0.10569339268449424,0.9983935952186584,0.0
calibration,veto_only,uniform_joint_r8,18432,18432,0.08986532567999106,2.3852694034576416,0.0,18432,0.9930088922992582,1.0000003576278687,0.15734261274337769,7.12230110168457,18432,0.11624536264894737,0.9912199974060059,0.0,18432,0.10517201990341096,0.998380720615387,0.0
test,all_rows,calibrated_maximum_logit_count_mass__exact_u,36864,36864,0.03449959061537209,0.5678866505622864,0.0,36864,0.9985532026912551,1.000000238418579,0.8800587058067322,1.847981333732605,36864,0.058590666827512905,1.5752232074737549,0.0,36864,0.06292764725954046,1.576015830039978,0.0
test,all_rows,calibrated_maximum_logit_count_mass__proxy_mean_q_r8,36864,36864,0.05518531659270679,1.3686494827270508,0.0,36864,0.9945597768366699,1.000000238418579,0.08801957964897156,7.766604423522949,36864,0.058590666827512905,1.5752232074737549,0.0,36864,0.07170091811985542,2.206374406814575,0.0
test,all_rows,calibrated_maximum_logit_mass__exact_u,36864,36864,0.0344995892259882,0.5678866505622864,0.0,36864,0.9985532027672485,1.000000238418579,0.8800586462020874,1.847981333732605,36864,0.05859066039071573,1.5752232074737549,0.0,36864,0.06292763987569187,1.576015830039978,0.0
test,all_rows,calibrated_maximum_logit_mass__proxy_mean_q_r8,36864,36864,0.05518531531224288,1.3686494827270508,0.0,36864,0.9945597771483234,1.000000238418579,0.08801957964897156,7.766604423522949,36864,0.05859066039071573,1.5752232074737549,0.0,36864,0.07170091538009468,2.206374168395996,0.0
test,all_rows,calibrated_mean_variance_mass__exact_u,36864,36864,0.06976885960709708,3.5654454231262207,0.0,36864,0.9877481608523845,1.000000238418579,-0.12869539856910706,6.892889976501465,36864,1.0179513150683812,10139.6474609375,0.0,36864,1.0604619323701712,12226.34375,0.0
test,all_rows,calibrated_mean_variance_mass__proxy_mean_q_r8,36864,36864,0.09427114495259112,2.0012094974517822,0.0,36864,0.9850616746771266,1.000000238418579,0.05907394737005234,7.390224456787109,36864,1.0179513150683812,10139.6474609375,0.0,36864,0.7523730160684767,8022.931640625,0.0
