split,method,rows,log_z_correlation,absolute_log_z_error_count,absolute_log_z_error_mean,absolute_log_z_error_maximum,absolute_log_z_error_minimum,normalized_mass_correlation,relative_mass_error_count,relative_mass_error_mean,relative_mass_error_maximum,relative_mass_error_minimum,worst_veto_row_relative_mass_error_count,worst_veto_row_relative_mass_error_mean,worst_veto_row_relative_mass_error_maximum,worst_veto_row_relative_mass_error_minimum,candidate_pair_ranking_accuracy,candidate_top1_ranking_accuracy
calibration,proxy_mean_veto_q_r2,5863,0.8127024040916534,5863,0.9538409687005557,17.77945899963379,0.0,0.6224439586331336,5863,7.713668924125332,4857.77587890625,0.0003762428241316229,1781,18.974049822334777,4857.77587890625,0.019865356385707855,0.7592811008143779,0.6209677419354839
calibration,proxy_mean_veto_q_r4,5863,0.8624621058383459,5863,0.7681683111079984,16.485965728759766,0.0,0.6743830998214634,5863,6.494405135143297,7762.2490234375,2.6807814720086753e-05,1781,16.473239551162884,7762.2490234375,0.014024671167135239,0.7871384442572311,0.6451612903225806
calibration,proxy_mean_veto_q_r8,5863,0.9090270475754973,5863,0.5897475400110083,11.755960464477539,0.0,0.7244432868702166,5863,7.671325398189144,16017.962890625,1.704554415482562e-05,1781,21.34249606000752,16017.962890625,0.009814826771616936,0.817860151642797,0.6774193548387096
calibration,uniform_r1,5863,0.4571477766300475,5863,3.0724958431572307,16.92687225341797,0.07161283493041992,0.5313042593530425,5863,3.423033335602793,3247.55517578125,0.00036967484629713,1781,8.09078067337036,3247.55517578125,0.0006730828899890184,0.7076102218477955,0.5564516129032258
calibration,uniform_r2,5863,0.494170222233122,5863,2.8573074969754537,16.74118995666504,0.06342339515686035,0.5806034381500111,5863,3.323379149118009,3943.16796875,0.00018682246445678174,1781,7.80370019044504,3943.16796875,0.00023952394258230925,0.7234484695310306,0.5887096774193549
calibration,uniform_r4,5863,0.5535989787468978,5863,2.5929941983022076,15.51047134399414,0.061051368713378906,0.6247047656841095,5863,3.014657679219964,3842.99462890625,2.190644408983644e-05,1781,7.318637711475327,3842.99462890625,0.00033213934511877596,0.7300758213984836,0.5725806451612904
calibration,uniform_r8,5863,0.626426309537809,5863,2.2945190892779905,14.056482315063477,0.044870853424072266,0.6310299451574484,5863,2.330604423221965,1499.3201904296875,7.31584950699471e-05,1781,5.368063476298186,1499.3201904296875,0.00041396875167265534,0.7340073013198539,0.6048387096774194
test,calibrated_maximum_logit,12333,0.9704366301617927,12333,0.6623002025663133,2.7495968341827393,7.62939453125e-05,0.964961962772457,12333,0.4557366301422416,5.256637096405029,3.053088948945515e-05,3665,0.6880083042024927,5.256637096405029,0.0005110610509291291,0.8558020955902953,0.6720647773279352
test,calibrated_maximum_logit_count,12333,0.9704366313139469,12333,0.6623002318297628,2.74959659576416,7.677078247070312e-05,0.9649619619676727,12333,0.455736645938274,5.256637096405029,2.8614724215003662e-05,3665,0.688008321083032,5.256637096405029,0.0005110610509291291,0.8558020955902953,0.6720647773279352
test,calibrated_mean_variance,12333,0.9039560537687596,12333,0.7374796593185856,11.77867603302002,4.458427429199219e-05,0.6044348738412023,12333,1.8339811783547597,583.2698364257812,4.697261829278432e-05,3665,3.87119534593505,583.2698364257812,4.697261829278432e-05,0.7800190508208662,0.631578947368421
