policy,split,total_tiles,baseline_skipped_tiles,baseline_kept_tiles,additional_skipped_tiles,baseline_physical_sparsity,new_physical_sparsity,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,maximum_masked_relative_error,p99_masked_relative_error,mean_masked_relative_error,pv_tiles_eliminated,v_bytes_avoided,softmax_elements_avoided,pv_flops_avoided,qk_flops_avoided,optimistic_kernel_speedup,half_downstream_kernel_speedup,passes_offline_work_gate
k_veto_8_visible_only,heldout,786432,220192,566240,71664,0.2799886067708333,0.3711140950520833,0.09112548828125,0.12656117547329754,70282,0.9807155615092654,0.9816969655490373,52836,2596689,1.0437830686569214,0.3459588587284088,0.014005691779512294,71664,1174142976,587071488,150290300928,0,1.1448998738313223,1.0675555421486855,False
k_veto_8_visible_only,final_benchmark,786432,328882,457550,54879,0.41819508870442706,0.4879773457845052,0.06978225708007812,0.11994099005573161,54469,0.9925290183859036,0.993215796186837,34776,2421857,1.0123318433761597,0.3744053542613983,0.015856495268919676,54879,899137536,449568768,115089604608,0,1.1362874406152914,1.063796396507409,False
k_veto_8_nonmasked_only,calibration,786432,285190,501242,65063,0.36263783772786456,0.4453697204589844,0.0827318827311198,0.12980356793724387,63929,0.9825707391297666,0.9835481698284144,43594,2534593,1.130070686340332,0.37870892882347107,0.014519837664765112,65063,1065992192,532996096,136447000576,0,1.1491658241226652,1.069406381977788,False
k_veto_8_nonmasked_only,heldout,786432,220192,566240,71664,0.2799886067708333,0.3711140950520833,0.09112548828125,0.12656117547329754,70282,0.9807155615092654,0.9816969655490373,52836,2596689,1.0437830686569214,0.3459588587284088,0.014005691779512294,71664,1174142976,587071488,150290300928,0,1.1448998738313223,1.0675555421486855,False
k_veto_8_nonmasked_only,final_benchmark,786432,328882,457550,54879,0.41819508870442706,0.4879773457845052,0.06978225708007812,0.11994099005573161,54469,0.9925290183859036,0.993215796186837,34776,2421857,1.0123318433761597,0.3744053542613983,0.015856495268919676,54879,899137536,449568768,115089604608,0,1.1362874406152914,1.063796396507409,False
k_veto_8_stable_only,calibration,786432,285190,501242,31326,0.36263783772786456,0.4024709065755208,0.03983306884765625,0.06249675805299636,30895,0.9862414607674137,0.9874730906605362,20890,1127502,1.130070686340332,0.3683863580226898,0.019745275742858993,31326,513245184,256622592,65695383552,0,1.0666629780641648,1.0322563372798246,False
k_veto_8_stable_only,heldout,786432,220192,566240,30740,0.2799886067708333,0.3190765380859375,0.039087931315104164,0.05428793444475841,30184,0.9819128171763175,0.9833434914548289,22412,1088805,1.0437830686569214,0.3161733150482178,0.01798224673495254,30740,503644160,251822080,64466452480,0,1.0574042950513538,1.027901319730608,False
k_veto_8_stable_only,final_benchmark,786432,328882,457550,23722,0.41819508870442706,0.4483591715494792,0.030164082845052082,0.05184569992350563,23620,0.9957001939128235,0.9964563744533373,15754,908293,1.0123318433761597,0.34576940536499023,0.023308777254421206,23722,388661248,194330624,49748639744,0,1.0546806568501803,1.026612727709232,False
k_veto_16,calibration,786432,285190,501242,148194,0.36263783772786456,0.5510762532552084,0.18843841552734375,0.2956535964663775,145988,0.9851141071838266,0.9857181958724331,58093,9891789,1.130070686340332,0.38708069920539856,0.012156878927563052,148194,2428010496,1214005248,310785343488,0,1.4197559538646305,1.1734703672055158,True
k_veto_16,heldout,786432,220192,566240,153005,0.2799886067708333,0.4745445251464844,0.19455591837565103,0.270212277479514,149674,0.9782294696251757,0.9789487760493135,67684,9613769,1.0437830686569214,0.35737326741218567,0.011358372104114422,153005,2506833920,1253416960,320874741760,0,1.3702614734957106,1.156211235610914,True
