source\target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6254799301919721,0.6510034904013962,0.6293630017452007,0.6017015706806282,0.6935863874345549,0.6192408376963351,0.6536212914485166,0.6452879581151832,0.6459860383944154,0.7189354275741711,0.6136998254799302
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6484744505239729,0.6602522489103217,0.6368357599925809,0.6902068070110359,0.636696652137624,0.6888620977464528,0.6409162570713159,0.66567745525364,0.6997125104330891,0.635212835018084
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6133668080685655,0.5931088217470349,0.6588607047008918,0.623192797160419,0.6330187862522725,0.6221106397714483,0.6406371742706259,0.7052203272443944,0.6070037226214181
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5998559661520457,0.6836206508529504,0.6176801548363865,0.6635459332943242,0.6404555070441553,0.654903902417068,0.6701174776072377,0.6146194355673583
24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6947368421052632,0.6822100500119076,0.6676351512264825,0.6319599904739224,0.6803524648725887,0.7396999285544177,0.6449154560609669
25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5844865258557902,0.645140406247471,0.5912438294084325,0.6272558064255078,0.6935744921906611,0.6163308246338108
26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6379739828397454,0.6437863271519513,0.6636221053602731,0.7133960697481317,0.6196143555678568
27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6529694457916317,0.6522640095233896,0.7193245447731581,0.6330408712137913
28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6702695307155562,0.6991380489807087,0.6108450768458977
29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6816482547149998,0.6099046498928886
