split,new_max_protection,estimator,accumulation_rule,base_budget,total_tiles,baseline_skipped_tiles,additional_skipped_tiles,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,mean_masked_relative_error,maximum_masked_relative_error,half_downstream_kernel_speedup,passes_offline_work_gate
calibration,masked,online_relative_proxy,max,0.05000000074505806,786432,285190,54252,0.0689849853515625,0.10823514390254607,53361,0.9835766423357665,0.9846124003542854,5517,5172065,0.010014573717182361,0.050259582698345184,1.0572138464004588,False
calibration,none,oracle_relative_effect,sum,0.0010000000474974513,786432,285190,212,0.0002695719401041667,0.00042294939370603424,0,0.0,0.017797594779441046,126,17370,6.870383221116432e-05,0.0009984165662899613,1.0002115194278598,False
calibration,none,oracle_relative_effect,sum,0.0020000000949949026,786432,285190,672,0.0008544921875,0.001340669776275731,0,0.0,0.005683964442485163,405,55031,0.0001679537937472431,0.001999419881030917,1.0006707845384164,False
calibration,none,oracle_relative_effect,sum,0.004999999888241291,786432,285190,2730,0.00347137451171875,0.005446470966120157,0,0.0,0.0014051505467881915,1773,212590,0.0004421322593409362,0.004992441274225712,1.0027306717452493,False
calibration,none,oracle_relative_effect,sum,0.009999999776482582,786432,285190,7267,0.009240468343098959,0.014497987000291276,4320,0.5944681436631347,0.6057041477639603,4913,550040,0.0010370040346110508,0.009998582303524017,1.0073019251077906,False
calibration,none,oracle_relative_effect,sum,0.019999999552965164,786432,285190,16641,0.021160125732421875,0.03319953236161375,13250,0.7962261883300282,0.8022774891434435,11816,1221661,0.0025155741693426346,0.019998515024781227,1.0168799697314885,False
calibration,none,oracle_relative_effect,sum,0.05000000074505806,786432,285190,37620,0.0478363037109375,0.07505356693972173,33548,0.8917597022860181,0.8948592730409062,30077,2621309,0.004815697044673502,0.04999938979744911,1.0389899509153622,False
calibration,none,oracle_relative_effect,rss,0.0010000000474974513,786432,285190,270,0.00034332275390625,0.0005386619636822134,0,0.0,0.014028039571646583,169,21585,6.911809670484633e-05,0.0009984165662899613,1.0002694035405613,False
calibration,none,oracle_relative_effect,rss,0.0020000000949949026,786432,285190,896,0.0011393229166666667,0.0017875597017009749,0,0.0,0.004269039599185204,545,73478,0.00016198059738956337,0.001999419881030917,1.0008945794079003,False
calibration,none,oracle_relative_effect,rss,0.004999999888241291,786432,285190,4053,0.005153656005859375,0.008085914588163002,0,0.0,0.0009469087859821912,2573,320069,0.00041891231093588437,0.004992441274225712,1.0040593691501967,False
