benchmark,condition,axis,index,attention_type,eligible,skipped,softmax_skipped,pv_omitted,compensated,mass_sum,rows,error_sq,dense_sq,denominator_mass_sum,same_budget_best_mass_sum,wrongly_replaced_vs_mass,unnecessarily_retained_vs_mass,physical_sparsity,pv_omission,mass,denominator_mass,relative_error,rescued_rows,prefix_eligible,prefix_skipped,prefix_replaced,canvas_eligible,canvas_skipped,canvas_replaced,boundary_eligible,boundary_skipped,boundary_replaced,softmax_sparsity,compensation_fraction,mass_selection_gap,wrongly_replaced_fraction,rescued_row_rate,prefix_sparsity,canvas_sparsity,boundary_sparsity
ruler8k,blasst_s50,layer,5,global,2184992.0,1625986.0,1625986.0,1625986.0,0.0,1805187.2693862915,2187264.0,20115981.078863088,359973113.66064453,1805187.2693862915,1841987.1989440918,109509.0,109509.0,0.7441610770199616,0.7441610770199616,0.8253175059738063,0.8253175059738063,0.23639352511904954,0.0,2099648.0,1589886.0,1589886.0,68352.0,35692.0,35692.0,16992.0,408.0,408.0,0.7441610770199616,0.0,0.016824640079021232,0.05011871897013811,0.0,0.757215495168714,0.5221793071161048,0.02401129943502825
ruler8k,blasst_s50,layer,6,local,324672.0,104137.0,104137.0,104137.0,0.0,2029380.0025405884,2187264.0,4554206.901603499,206263705.2364502,2029380.0025405884,2150805.1226501465,39410.0,39410.0,0.320745244431303,0.320745244431303,0.9278166707542338,0.9278166707542338,0.14859184359265815,0.0,239232.0,75077.0,75077.0,68352.0,28990.0,28990.0,17088.0,70.0,70.0,0.320745244431303,0.0,0.055514615569752034,0.12138404297260004,0.0,0.31382507356875333,0.42412804307116103,0.004096441947565543
ruler8k,blasst_s50,layer,7,local,324672.0,86392.0,86392.0,86392.0,0.0,2062847.9855880737,2187264.0,1945368.990390812,218950866.3642578,2062847.9855880737,2161017.398475647,35769.0,35769.0,0.266090084762468,0.266090084762468,0.9431179709390699,0.9431179709390699,0.0942600488356214,0.0,239232.0,59802.0,59802.0,68352.0,26257.0,26257.0,17088.0,333.0,333.0,0.266090084762468,0.0,0.04488228804916702,0.11016964813719693,0.0,0.24997491974317818,0.3841438436329588,0.019487359550561797
ruler8k,blasst_s50,layer,8,local,324672.0,92680.0,92680.0,92680.0,0.0,2060771.7088241577,2187264.0,2394462.7045303676,217108745.12695312,2060771.7088241577,2155357.218963623,35407.0,35407.0,0.2854573230829884,0.2854573230829884,0.9421687134356702,0.9421687134356702,0.10501839578538771,0.0,239232.0,68971.0,68971.0,68352.0,23285.0,23285.0,17088.0,424.0,424.0,0.2854573230829884,0.0,0.04324375573294551,0.10905467671988961,0.0,0.2883017322097378,0.3406630383895131,0.024812734082397005
ruler8k,blasst_s50,layer,9,local,324672.0,81742.0,81742.0,81742.0,0.0,2062663.4959526062,2187264.0,1651278.7794510792,176728427.35009766,2062663.4959526062,2144925.0041275024,33896.0,33896.0,0.2517679381036862,0.2517679381036862,0.943033623720139,0.943033623720139,0.09666227081948044,0.0,239232.0,55461.0,55461.0,68352.0,25434.0,25434.0,17088.0,847.0,847.0,0.2517679381036862,0.0,0.03760931838813067,0.10440074906367042,0.0,0.23182935393258428,0.37210323033707865,0.04956694756554307
ruler8k,blasst_s50,layer,10,local,324672.0,75424.0,75424.0,75424.0,0.0,2014462.104484558,2187264.0,3028539.949977096,146512788.35058594,2014462.104484558,2136836.4046936035,35528.0,35528.0,0.2323082988369801,0.2323082988369801,0.9209963243963958,0.9209963243963958,0.14377351368437485,0.0,239232.0,52309.0,52309.0,68352.0,22096.0,22096.0,17088.0,1019.0,1019.0,0.2323082988369801,0.0,0.05594857329021344,0.10942736053617189,0.0,0.21865385901551632,0.3232677902621723,0.05963249063670412
ruler8k,blasst_s50,layer,11,global,2184992.0,1433989.0,1433989.0,1433989.0,0.0,1754554.6247558594,2187264.0,19930675.638583124,360432358.9145508,1754554.6247558594,1834359.280834198,162365.0,162365.0,0.6562902747470014,0.6562902747470014,0.8021686567126142,0.8021686567126142,0.2351522418835669,0.0,2099648.0,1409517.0,1409517.0,68352.0,24360.0,24360.0,16992.0,112.0,112.0,0.6562902747470014,0.0,0.036486064818119175,0.07430919655541073,0.0,0.6713110959551315,0.35639044943820225,0.006591337099811676
ruler8k,blasst_s50,layer,12,local,324672.0,83445.0,83445.0,83445.0,0.0,2021120.8620147705,2187264.0,4741029.8766166875,198404803.75317383,2021120.8620147705,2146076.632965088,38614.0,38614.0,0.2570132318154938,0.2570132318154938,0.9240406562786981,0.9240406562786981,0.15458247432296043,0.0,239232.0,61011.0,61011.0,68352.0,20772.0,20772.0,17088.0,1662.0,1662.0,0.2570132318154938,0.0,0.0571288015302759,0.11893233786713976,0.0,0.2550285914927769,0.30389747191011235,0.09726123595505617
ruler8k,blasst_s50,layer,13,local,324672.0,72828.0,72828.0,72828.0,0.0,2026255.748260498,2187264.0,2488605.1852772073,160213659.68481445,2026255.748260498,2132811.7749938965,35364.0,35364.0,0.22431253696037848,0.22431253696037848,0.9263882861238963,0.9263882861238963,0.12463161719758023,0.0,239232.0,55707.0,55707.0,68352.0,16720.0,16720.0,17088.0,401.0,401.0,0.22431253696037848,0.0,0.04871658232997866,0.10892223536369013,0.0,0.2328576444622793,0.24461610486891386,0.023466760299625467
ruler8k,blasst_s50,layer,14,local,324672.0,73443.0,73443.0,73443.0,0.0,2040999.4590377808,2187264.0,2147037.224425077,164048228.4050293,2040999.4590377808,2146160.2820129395,34202.0,34202.0,0.2262067563571851,0.2262067563571851,0.9331289954197485,0.9331289954197485,0.11440210477715085,0.0,239232.0,58498.0,58498.0,68352.0,14571.0,14571.0,17088.0,374.0,374.0,0.2262067563571851,0.0,0.04807870607990562,0.10534323871476443,0.0,0.24452414392723382,0.21317591292134833,0.02188670411985019
